Id,field,age,type,production,date,month,year,temperature,dewpoint,windspeed,Soilwater_L1,Soilwater_L2,Soilwater_L3,Soilwater_L4,Precipitation,acc_precipitation
0,0,19,5,0.06407108239095315,2004-01-01,1,2004,26.131999999999998,24.660999999999998,1.8766,0.35274,0.35191999999999996,0.34844,0.33385,360.91,188.86174999999997
1,0,19,5,0.047657512116316636,2004-02-01,2,2004,25.295,24.401,1.9206,0.36361,0.36376,0.36411,0.36357,484.67,273.53425
2,0,19,5,0.01686591276252019,2004-03-01,3,2004,25.61,24.651,1.9948,0.36399000000000004,0.36383000000000004,0.36351,0.36575,460.76,372.3075
3,0,19,5,0.025525040387722138,2004-04-01,4,2004,26.328000000000003,24.753,1.9063,0.35677,0.35679,0.35697,0.36079,350.02,414.09000000000003
4,0,19,5,0.04768982229402263,2004-05-01,5,2004,26.566,24.94,1.8569,0.36002,0.36022,0.36085,0.36468,186.72,370.5425
5,0,19,5,0.1475282714054927,2004-06-01,6,2004,26.076999999999998,24.373,1.8734,0.35241,0.35267,0.35274,0.35567,109.45,276.7375
6,0,19,5,0.3682714054927304,2004-07-01,7,2004,26.182,23.648000000000003,1.8517,0.34244,0.34307,0.34552,0.35143,173.3,204.8725
7,0,19,5,0.43919224555735065,2004-08-01,8,2004,26.596999999999998,23.918000000000003,1.9428,0.32118,0.32079,0.32168,0.33193,169.62,159.7725
8,0,19,5,0.4110823909531504,2004-09-01,9,2004,27.035999999999998,24.233,2.0291,0.32211999999999996,0.32032,0.31890999999999997,0.32213,139.82,148.0475
9,0,19,5,0.4294668820678513,2004-10-01,10,2004,27.601999999999997,23.498,2.3076,0.29262,0.29302,0.29996,0.31129,221.24,175.995
10,0,19,5,0.36003231017770604,2004-11-01,11,2004,27.544,23.601,2.3453,0.28886,0.28758,0.28812,0.29783000000000004,9.9482,135.15705000000003
11,0,19,5,0.20252019386106626,2004-12-01,12,2004,27.309,23.807,2.0102,0.2927,0.29019,0.28844000000000003,0.2912,136.33,126.83455000000004
12,0,20,5,0.12597738287560584,2005-01-01,1,2005,27.285999999999998,24.269000000000002,2.0396,0.30134,0.29818,0.29215,0.28793,212.56,145.01955000000004
13,0,20,5,0.04549273021001616,2005-02-01,2,2005,26.578000000000003,24.765,2.0914,0.33255999999999997,0.32987,0.3218,0.30038000000000004,446.28,201.27955000000003
14,0,20,5,0.05260096930533118,2005-03-01,3,2005,26.355,24.69,1.8963,0.34691,0.34601,0.34371,0.33409,376.8,292.9925
15,0,20,5,0.018610662358642973,2005-04-01,4,2005,26.643,24.8,1.8473,0.3463,0.34615999999999997,0.3469,0.348,404.49,360.0325
16,0,20,5,0.07806138933764137,2005-05-01,5,2005,26.397,24.951999999999998,1.7458,0.35231,0.35219,0.35128000000000004,0.35101,316.81,386.095
